spot_strike_ratio,ttm,risk_free_rate,volatility,avg_type,monte_carlo_price,net_price,delta_mc,delta_mc_l_ci,delta_mc_r_ci,theta_mc,theta_mc_l_ci,theta_mc_r_ci,rho_mc,rho_mc_l_ci,rho_mc_r_ci,vega_mc,vega_mc_l_ci,vega_mc_r_ci
0.8977,0.7591,0.1406,0.5355,GEOMETRIC,0.0752,1.4903,0.4239,0.2400,0.6078,-0.0670,-0.1487,0.2827,0.0926,-1.0682,1.2535,0.1416,-0.1651,0.4483
1.7003,1.1600,0.1239,0.3769,ARITHMETIC,0.7320,1.8100,0.9293,0.8363,1.0223,-0.0128,-0.1237,0.1493,0.1054,-1.1658,1.3765,0.0098,-0.4128,0.4323
0.9329,0.9055,0.0519,0.1526,ARITHMETIC,0.0175,1.5730,0.3219,0.2754,0.3683,-0.0219,-0.0244,0.0682,0.1181,-0.6870,0.9233,0.1796,-0.0960,0.4551
1.6396,1.2104,0.1640,0.5056,ARITHMETIC,0.6987,1.8521,0.8901,0.7070,1.0732,-0.0229,-0.2257,0.2715,0.1027,-1.7224,1.9278,0.0437,-0.5551,0.6426
1.2941,0.6236,0.1254,0.0695,ARITHMETIC,0.3202,1.6221,0.9619,0.9602,0.9636,-0.0389,0.0354,0.0424,0.1935,0.1762,0.2109,0.0001,-0.0315,0.0318
1.3136,1.3227,0.0676,0.5116,GEOMETRIC,0.3676,1.5744,0.7875,0.5565,1.0184,-0.0268,-0.2034,0.2570,0.2238,-4.2609,4.7086,0.0800,-0.5181,0.6781
1.3602,0.9630,0.1342,0.1358,ARITHMETIC,0.3984,1.6854,0.9381,0.9283,0.9479,-0.0342,0.0203,0.0480,0.2449,0.1458,0.3439,0.0004,-0.0985,0.0993
1.7722,0.6253,0.0414,0.4957,ARITHMETIC,0.7893,1.7473,0.9852,0.8956,1.0747,-0.0069,-0.2474,0.2612,0.0634,-3.7569,3.8837,0.0069,-0.3156,0.3294
1.7934,1.0338,0.0696,0.4367,ARITHMETIC,0.8187,1.7975,0.9616,0.8472,1.0759,-0.0077,-0.1910,0.2064,0.0747,-2.8607,3.0102,0.0129,-0.4601,0.4859
0.6223,0.5797,0.1997,0.3477,GEOMETRIC,0.0002,1.4253,0.0039,-0.0032,0.0110,-0.0011,-0.0063,0.0084,0.0006,-0.0205,0.0216,0.0030,-0.0094,0.0153
1.3309,0.5541,0.1475,0.1019,ARITHMETIC,0.3568,1.6376,0.9602,0.9570,0.9635,-0.0430,0.0352,0.0507,0.1613,0.1323,0.1903,0.0002,-0.0422,0.0425
0.6669,0.8786,0.0621,0.4141,ARITHMETIC,0.0083,1.5806,0.0646,0.0033,0.1258,-0.0124,-0.0332,0.0581,0.0168,-0.6241,0.6576,0.0480,-0.0496,0.1455
1.8251,0.7840,0.1528,0.2577,GEOMETRIC,0.8278,1.5958,0.9378,0.9151,0.9606,0.0046,-0.0576,0.0483,0.0243,-0.2461,0.2948,-0.0574,-0.2194,0.1046
1.5692,0.6307,0.1540,0.4440,ARITHMETIC,0.5985,1.7572,0.9493,0.8770,1.0216,-0.0291,-0.1513,0.2096,0.1063,-0.6288,0.8413,0.0092,-0.2486,0.2671
