volatility,predicted_vol
0.2301,0.2350
0.1776,0.1550
0.2102,0.5250
0.2615,0.1850
0.1680,0.1900
0.1586,0.1800
0.2328,0.1550
0.4360,0.3000
0.3490,0.2350
0.4022,0.1800
0.3274,0.1750
0.1504,0.2100
0.3101,0.1800
0.5430,0.2250
0.3149,0.3000
0.2765,0.1650
0.1680,0.2050
0.3981,0.3400
0.2356,0.2100
0.0761,0.2300
0.4545,0.3800
0.2729,0.2350
0.0543,0.2050
0.4710,0.3000
0.3331,0.3000
0.2028,0.1750
0.3389,0.1800
0.3416,0.4050
0.1279,0.1650
0.2369,0.1750
0.1411,0.2200
0.3376,0.2000
0.3976,0.2050
0.4160,0.2750
0.4536,0.2300
0.4175,0.1500
0.4987,0.2200
0.1214,0.2300
0.2190,0.2200
0.3961,0.2350
0.5186,0.4550
0.3629,0.2450
0.1576,0.1750
0.3637,0.2200
0.1474,0.2100
0.3733,0.2400
0.2820,0.1700
0.5065,0.3000
0.5233,0.2500
0.3436,0.3650
0.4736,0.3000
0.2538,0.5200
0.4482,0.3000
0.5237,0.2500
0.4295,0.4950
0.1071,0.1700
0.1926,0.4150
0.2925,0.2550
0.2473,0.2100
0.4131,0.2750
0.5486,0.3850
0.1633,0.1850
0.1004,0.1850
0.5297,0.5250
0.1638,0.2200
0.1974,0.1500
0.2182,0.1450
0.0783,0.1600
0.1459,0.2250
0.4056,0.1750
0.2416,0.2300
0.2643,0.2050
0.2928,0.1500
0.4925,0.2050
0.5190,0.3000
0.1244,0.1600
0.1689,0.2000
0.3851,0.2750
0.1593,0.4250
0.4557,0.1700
0.1182,0.2350
0.4657,0.2550
0.0697,0.2100
0.2162,0.1650
0.0894,0.1400
0.2338,0.1400
0.1042,0.2350
0.2616,0.1350
0.3174,0.1600
0.2105,0.2700
0.4872,0.1850
0.1284,0.2000
0.1968,0.1850
0.1999,0.2100
0.4006,0.1750
0.1041,0.3000
0.1283,0.2300
0.4938,0.4950
0.4147,0.2000
0.3657,0.2450
0.5493,0.2500
0.3008,0.1850
0.3647,0.2350
0.4814,0.4200
0.5072,0.4900
0.1134,0.1500
0.1230,0.2150
0.5084,0.2100
0.5030,0.3000
0.3564,0.2050
0.1985,0.5300
0.2800,0.1650
0.3760,0.4100
0.3609,0.1750
0.3151,0.3000
0.1406,0.1500
0.2674,0.5400
0.1845,0.1450
0.3161,0.4550
0.2599,0.5200
0.2432,0.2050
0.3703,0.1800
0.5145,0.3150
0.2546,0.3750
0.0606,0.1450
0.3418,0.2050
0.2627,0.1750
0.2337,0.2250
0.4864,0.3000
0.0816,0.2000
0.5274,0.5250
0.3367,0.3000
0.2984,0.2300
0.3647,0.1800
0.0500,0.2100
0.3887,0.2700
0.0831,0.2100
0.5357,0.2250
0.4211,0.3000
0.2907,0.4700
0.2423,0.1700
0.2281,0.1600
0.4174,0.1950
0.1298,0.1800
0.4895,0.2200
0.3762,0.2100
0.1518,0.2050
0.4584,0.2150
0.1052,0.2050
0.0759,0.1950
0.4289,0.3650
0.4216,0.2150
0.2128,0.2350
0.4486,0.5300
0.4162,0.4250
0.1418,0.1900
0.3554,0.2250
0.4884,0.2350
0.3951,0.3000
0.4062,0.3450
0.4810,0.3000
0.4729,0.4850
0.4808,0.1650
0.1132,0.2300
0.5134,0.3000
0.1294,0.4300
0.5042,0.2450
0.3241,0.3650
0.5303,0.4850
0.1011,0.1700
0.5129,0.5150
0.3116,0.5200
0.4656,0.5300
0.2665,0.2150
0.3661,0.2050
0.3407,0.2100
0.0976,0.1950
0.4471,0.4250
0.0585,0.2200
0.2498,0.1950
0.4593,0.1750
0.3102,0.1350
0.5498,0.2250
0.2525,0.2350
0.5332,0.3000
0.4564,0.3000
0.3439,0.1950
0.4519,0.2550
0.4187,0.4900
0.1663,0.2250
0.5319,0.2100
0.4165,0.3000
0.5113,0.3000
0.2090,0.3350
0.5117,0.5150
0.2899,0.1800
0.0978,0.1500
0.3203,0.2650
0.2498,0.2050
0.4978,0.2500
0.1012,0.2250
0.3632,0.2650
0.1800,0.2050
0.2413,0.2100
0.0599,0.1500
0.3021,0.2100
0.2661,0.1750
0.3137,0.1650
0.3655,0.1950
0.4779,0.3000
0.4979,0.3000
0.0678,0.1400
0.2712,0.1800
0.3660,0.1600
0.5027,0.1950
0.5224,0.2550
0.2881,0.2300
0.2866,0.2450
0.2957,0.2150
0.2587,0.1900
0.4352,0.5100
0.4018,0.3000
0.3529,0.2200
0.4601,0.3000
0.1795,0.1750
0.2512,0.2250
0.3692,0.2050
0.4628,0.2200
0.4408,0.3300
0.2577,0.2250
0.0568,0.1500
0.5251,0.2050
0.2947,0.1600
0.0672,0.2200
0.4567,0.4100
0.3662,0.2250
0.1065,0.1800
0.0746,0.1400
0.0748,0.2000
0.1173,0.1600
0.1267,0.1950
0.1039,0.1800
0.1077,0.2050
0.4074,0.1650
0.4165,0.5350
0.2870,0.2400
0.2902,0.1700
0.3788,0.2050
0.1963,0.2250
0.5359,0.2150
0.1590,0.2450
0.5090,0.4550
0.5062,0.2350
0.5022,0.1750
0.3358,0.2250
0.3335,0.1500
0.4198,0.3200
0.5037,0.1900
0.3029,0.1500
0.2352,0.2350
0.1241,0.2050
0.0746,0.2250
0.5305,0.2100
0.4733,0.4650
0.2432,0.2100
0.5456,0.2150
0.1777,0.3400
0.2006,0.1950
0.0509,0.1500
0.1032,0.2350
0.4457,0.1900
0.4484,0.2350
0.2087,0.2350
0.1729,0.1800
0.2694,0.2050
0.1876,0.2250
0.1416,0.1400
0.2800,0.2950
0.4753,0.2450
0.2065,0.1500
0.1204,0.1350
0.0616,0.1550
0.4606,0.1600
0.1590,0.2200
0.0676,0.1650
0.1833,0.2300
0.3528,0.5150
0.0791,0.1950
0.0708,0.2000
0.3505,0.2100
0.4860,0.2850
0.4909,0.5400
0.4249,0.2000
0.3045,0.2550
0.0942,0.1800
0.3878,0.4700
0.4127,0.1850
0.1739,0.2100
0.3177,0.2250
0.4746,0.2650
0.2008,0.1400
0.4110,0.5000
0.1738,0.1800
0.3771,0.2300
0.4569,0.3000
0.0685,0.2550
0.0558,0.2350
0.1472,0.2150
0.5258,0.2350
0.3104,0.3100
0.3069,0.4750
0.3955,0.1800
0.1357,0.2350
0.3452,0.2400
0.3955,0.1800
0.2147,0.1750
0.2783,0.2350
0.2328,0.3800
0.0731,0.2050
0.3887,0.2100
0.4845,0.3450
0.1089,0.2200
0.2514,0.1850
