spot_strike_ratio,ttm,risk_free_rate,volatility,avg_type,price_strike_ratio,left_ci,right_ci
1.5000,1.5000,0.1200,0.3958,ARITHMETIC,0.5409,0.5374,0.5444
1.5000,1.5000,0.1200,0.4410,ARITHMETIC,0.5442,0.5399,0.5486
1.5000,1.5000,0.1200,0.3574,ARITHMETIC,0.5404,0.5376,0.5431
1.5000,1.5000,0.1200,0.5307,ARITHMETIC,0.5519,0.5456,0.5583
1.5000,1.5000,0.1200,0.3254,ARITHMETIC,0.5390,0.5369,0.5412
1.5000,1.5000,0.1200,0.1595,ARITHMETIC,0.5376,0.5371,0.5381
1.5000,1.5000,0.1200,0.3209,ARITHMETIC,0.5396,0.5374,0.5417
1.5000,1.5000,0.1200,0.1723,ARITHMETIC,0.5377,0.5371,0.5383
1.5000,1.5000,0.1200,0.0917,ARITHMETIC,0.5376,0.5374,0.5377
1.5000,1.5000,0.1200,0.4282,ARITHMETIC,0.5433,0.5393,0.5473
1.5000,1.5000,0.1200,0.1822,ARITHMETIC,0.5372,0.5366,0.5378
1.5000,1.5000,0.1200,0.2068,ARITHMETIC,0.5372,0.5364,0.5381
1.5000,1.5000,0.1200,0.5442,ARITHMETIC,0.5589,0.5521,0.5657
1.5000,1.5000,0.1200,0.2503,ARITHMETIC,0.5359,0.5348,0.5371
1.5000,1.5000,0.1200,0.2707,ARITHMETIC,0.5375,0.5361,0.5389
1.5000,1.5000,0.1200,0.5103,ARITHMETIC,0.5515,0.5457,0.5573
1.5000,1.5000,0.1200,0.4450,ARITHMETIC,0.5427,0.5382,0.5471
1.5000,1.5000,0.1200,0.4797,ARITHMETIC,0.5459,0.5408,0.5511
1.5000,1.5000,0.1200,0.2842,ARITHMETIC,0.5383,0.5368,0.5399
1.5000,1.5000,0.1200,0.1563,ARITHMETIC,0.5380,0.5375,0.5384
1.5000,1.5000,0.1200,0.0828,ARITHMETIC,0.5374,0.5373,0.5376
